,A.baumannii,E.coli,P.aeruginosa,S.aureus,S.enterica
A.baumannii,0.0,5.178575902404771,4.683520109361754,5.587130681310315,5.883179991621228
E.coli,5.178575902404771,0.0,4.984313977204069,4.4019767821152795,4.742145937351477
P.aeruginosa,4.683520109361754,4.984313977204069,0.0,4.833513408762472,5.476987481514362
S.aureus,5.587130681310315,4.4019767821152795,4.833513408762472,0.0,3.427431714578087
S.enterica,5.883179991621228,4.742145937351477,5.476987481514362,3.427431714578087,0.0
